policy,retention_accuracy,high_utility_hit_ratio
LRU,0.10354620695041226,0.0
FIFO,0.10354620695041226,0.0
LFU,0.10354620695041226,0.0
CLOCK,0.10621829907239855,0.0
GreedyDual,0.10354620695041226,0.0
ARC,0.10354620695041226,0.0
UtilityAware,0.22144965502533626,1.0
